Original Technique;Original Sub-techniques;Updated Technique;Updated Sub-techniques;Top position;Percentage;Publication year;;;;
T1086;;T1059;T1059.001;1;;2019;;;;
T1064;;T1059;;2;;2019;;;;
T1117;;T1218;T1218.010;3;;2019;;;;
T1090;;T1090;;4;;2019;;;;
T1193;;T0865;;5;;2019;;;;
T1036;;T1036;;6;;2019;;;;
T1003;;T1003;;7;;2019;;;;
T1060;;T1547;T1547.001;8;;2019;;;;
T1085;;T1218;T1218.011;9;;2019;;;;
T1035;;T1569;T1569.002;10;;2019;;;;
T1055;;T1055;;1;17%;2020;;;;
T1053;;T1053;;2;13%;2020;;;;
T1077;;T1021;T1021.002;3;13%;2020;;;;
T1086;;T1059;T1059.001;4;12%;2020;;;;
T1105;;T1105;;5;9%;2020;;;;
T1036;;T1036;;6;7%;2020;;;;
T1064;;T1059;;7;5%;2020;;;;
T1038;;T1574;T1574.001;8;5%;2020;;;;
T1482;;T1482;;9;5%;2020;;;;
T1089;;T1562;;10;5%;2020;;;;
T1059;T1059.001, T1059.003;;;1;24%;2021;;;;
T1218;T1218.011, T1218.005;;;2;19%;2021;;;;
T1543;T1543.003;;;3;16%;2021;;;;
T1053;T1053.005;;;4;16%;2021;;;;
T1003;T1003.001;;;5;7%;2021;;;;
T1055;;;;6;7%;2021;;;;
T1027;;;;7;6%;2021;;;;
T1105;;;;8;5%;2021;;;;
T1569;T1569.002;;;9;4%;2021;;;;
T1036;T1036.003;;;10;4%;2021;;;;
T1059;T1059.001, T1059.003;;;1;53%;2022;;;;
T1218;T1218.011;;;2;35%;2022;;;;
T1047;;;;3;15%;2022;;;;
T1003;T1003.001;;;4;18%;2022;;;;
T1105;;;;5;20%;2022;;;;
T1055;;;;6;22%;2022;;;;
T1053;T1053.005;;;7;15%;2022;;;;
T1027;;;;8;19%;2022;;;;
T1036;T1036.003, T1036.005;;;9;22%;2022;;;;
T1574;T1574.001;;;10;8%;2022;;;;
T1027;;;;1;;2021;;;;
T1555;T1555.003;;;2;;2021;;;;
T1083;;;;3;;2021;;;;
T1547;T1547.001;;;4;;2021;;;;
T1082;;;;5;;2021;;;;
T1190;;;;1;29%;2022;;;;
T1071;T1071.004;;;2;14%;2022;;;;
T1566;;;;3;14%;2022;;;;
T1098;T1098.001;;;4;7%;2022;;;;
T1110;;;;5;7%;2022;;;;
T1189;;;;6;7%;2022;;;;
T1204;T1204.002;;;7;7%;2022;;;;
T1078;T1078.003;;;8;7%;2022;;;;
T1055;;T1055;;1;19%;2020;;;;
T1086;;T1059;T1059.001;2;16%;2020;;;;
T1003;;T1003;;3;15%;2020;;;;
T1036;;T1036;;4;11%;2020;;;;
T1059;;T1059;;5;9%;2020;;;;
T1064;;T1059;;6;7%;2020;;;;
T1053;;T1053;;7;6%;2020;;;;
T1060;;T1547;T1547.001;8;6%;2020;;;;
T1082;;T1082;;9;5%;2020;;;;
T1562;;T1562;;10;5%;2020;;;;
T1059;;;;1;26%;2021;;;;
T1055;;;;2;21%;2021;;;;
T1486;;;;3;19%;2021;;;;
T1218;;;;4;16%;2021;;;;
T1003;;;;5;14%;2021;;;;
T1027;;;;6;13%;2021;;;;
T1053;;;;7;11%;2021;;;;
T1036;;;;8;9%;2021;;;;
T1082;;;;9;8%;2021;;;;
T1497;;;;10;6%;2021;;;;
T1059;;;;1;31%;2022;;;;
T1003;;;;2;25%;2022;;;;
T1486;;;;3;23%;2022;;;;
T1055;;;;4;22%;2022;;;;
T1082;;;;5;20%;2022;;;;
T1021;;;;6;18%;2022;;;;
T1047;;;;7;15%;2022;;;;
T1053;;;;8;12%;2022;;;;
T1497;;;;9;10%;2022;;;;
T1018;;;;10;8%;2022;;;;
T1574;T1574.006, 1574.007;T1574;T1574.006, 1574.007;1;;2020;;;;
T1562;T1562.003;T1562;T1562.003;2;;2020;;;;
T1134;T1134.003;T1134;T1134.003;3;;2020;;;;
T1083;;T1083;;4;;2020;;;;
T1548;;T1548;;5;;2020;;;;
T1134;T1134.002;T1134;T1134.002;6;;2020;;;;
T1550;T1550.004;T1550;T1550.004;7;;2020;;;;
T1204;T1204.002;T1204;T1204.002;8;;2020;;;;
T1135;;T1135;;9;;2020;;;;
T1036;;;;1;;2022;;;;
T1059;;;;2;;2022;;;;
T1047;;;;3;;2022;;;;
T1003;;;;4;;2022;;;;
T1547;;;;5;;2022;;;;
T1082;;;;1;;2022;;;;
T1083;;;;2;;2022;;;;
T1059;T1059.001;;;3;;2022;;;;
T1071;T1071.001;;;4;;2022;;;;
T1112;;;;5;;2022;;;;
T1486;;;;6;;2022;;;;
T1482;;;;7;;2022;;;;
T1047;;;;8;;2022;;;;
T1059;;;;9;;2022;;;;
T1078;;;;10;;2022;;;;
T1059;;;;1;88%;2022;;;;
T1588;;;;2;73%;2022;;;;
T1190 ;;;;3;54%;2022;;;;
T1021;;;;4;50%;2022;;;;
T1505 ;;;;5;50%;2022;;;;
T1003;;;;6;42%;2022;;;;
T1090;;;;7;42%;2022;;;;
T1070;;;;8;38%;2022;;;;
T1036;;;;9;31%;2022;;;;
T1102 ;;;;10;31%;2022;;;;
T1560;;;;11;31%;2022;;;;
